epoch,train_loss,val_loss,learning_rate,epoch_seconds
1,1.169274845570326,0.9015351045131683,0.001,29.87182092666626
2,0.852472217231989,0.7586162674427033,0.001,25.92669677734375
3,0.6947552321851254,0.6846415811777115,0.001,24.9144868850708
4,0.5998580391705036,0.6017232131958008,0.001,27.4611976146698
5,0.5421609749644994,0.573951141834259,0.001,25.336349725723267
6,0.5182627774775028,0.6292428833246231,0.001,24.67703366279602
7,0.4893960901349783,0.538115746974945,0.001,22.88275671005249
8,0.44920368447899817,0.5511601889133453,0.001,25.225343465805054
9,0.4247858317196369,0.5258655780553818,0.001,22.563497066497803
10,0.4062663754820824,0.4916618835926056,0.001,23.412097454071045
11,0.3704302229732275,0.5020862358808518,0.001,22.48807668685913
12,0.36395723454654216,0.48702714920043944,0.001,23.0047607421875
13,0.3353355722874403,0.5123337852954865,0.001,23.80465054512024
14,0.3261565988883376,0.4489735805988312,0.001,22.14215350151062
15,0.31190355647355317,0.492912512421608,0.001,23.177818298339844
16,0.30075123578310015,0.49917862594127654,0.001,22.754690170288086
17,0.28003189120441674,0.46229605853557587,0.001,22.077373027801514
18,0.2822448343038559,0.5037458539009094,0.001,23.084011554718018
19,0.26147006284445523,0.48060140013694763,0.001,24.22899031639099
20,0.24427086915820836,0.47143676280975344,0.0005,22.725201845169067
21,0.20220987793058157,0.4502345168590546,0.0005,23.706905841827393
22,0.1903967947512865,0.47261278361082076,0.0005,22.909823656082153
23,0.18370213456451892,0.47137327045202254,0.0005,22.94350266456604
24,0.17268860064446925,0.4926050317287445,0.0005,22.438865423202515
25,0.17069732958450914,0.48883110761642456,0.0005,23.069398880004883
26,0.1639419001713395,0.46977410912513734,0.00025,23.835119247436523
27,0.14411872163414954,0.4899224638938904,0.00025,22.1252224445343
28,0.1384641925804317,0.49642243683338166,0.00025,24.082825899124146
29,0.13486448703333737,0.4714476543664932,0.00025,24.352996826171875
